"taxon","source_feature","direction","native_prevalence_spike_coefficient","structural_logit_absence_contrast","native_nonzero_absolute_logFC","null_baseline_conditional_mean_log_relative_contrast","abundance_raw_conditional_mean_log_relative_contrast","abundance_mapped_conditional_mean_log_relative_contrast","null_baseline_expected_detection_contrast_at_1500","abundance_raw_expected_detection_contrast_at_1500","abundance_expected_detection_contrast_at_1500","joint_raw_expected_detection_contrast_at_1500","joint_expected_detection_contrast_at_1500"
"Taxon_048","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.00372401005859935,0.499424527410307,0.495700517351708,0.00258976427161334,0.0539581803634567,0.0513684160918433,0.107181243699768,0.104591479428155
"Taxon_049","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.00756562100115943,0.493369663628394,0.485804042627235,-0.0011371524307906,0.0868209299904565,0.0879580824212471,0.1051928641806,0.106330016611391
"Taxon_050","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_unclassified","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0472788999186928,0.474745933509948,0.522024833428641,-0.00441155017470973,0.0658176203878186,0.0702291705625284,0.123242912576133,0.127654462750843
"Taxon_001","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis","negative",-0.693147180559945,0.693147180559945,-0.693147180559945,-0.151522844765512,-0.427229481699826,-0.275706636934315,0.00919787453567605,-0.023543158421349,-0.032741032957025,-0.110742785314356,-0.119940659850032
"Taxon_002","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris","negative",-0.693147180559945,0.693147180559945,-0.693147180559945,0.0470925738841181,-0.28832577082482,-0.335418344708938,0.00471752640948098,-0.0207879109112218,-0.0255054373207028,-0.144402763500943,-0.149120289910424
"Taxon_003","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus","negative",-0.693147180559945,0.693147180559945,-0.693147180559945,-0.0652267886195057,-0.33596910954448,-0.270742320924974,-0.00694531008938759,-0.0404564962856813,-0.0335111861962937,-0.0680591933577632,-0.0611138832683756
"Taxon_004","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis","negative",-0.693147180559945,0.693147180559945,-0.693147180559945,0.0173571758881552,-0.142005993328812,-0.159363169216967,0.00491562717003025,-0.00960045629836204,-0.0145160834683923,-0.126238226244879,-0.131153853414909
"Taxon_005","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae","negative",-0.693147180559945,0.693147180559945,-0.693147180559945,0.000474157351415982,-0.269573654702961,-0.270047812054377,-0.00303646891835108,-0.0194059181222828,-0.0163694492039317,-0.159215827915203,-0.156179358996852
"Taxon_006","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus","negative",-0.693147180559945,0.693147180559945,-0.693147180559945,-0.0281763759837306,-0.206348358819509,-0.178171982835778,0.0101572884255523,-0.0229514904342772,-0.0331087788598295,-0.0800962110887291,-0.0902534995142814
"Taxon_007","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei","negative",-0.693147180559945,0.693147180559945,-0.693147180559945,0.00154825410298187,-0.346995521353761,-0.348543775456743,0.00200954129083297,-0.0419598814374115,-0.0439694227282445,-0.133285390045909,-0.135294931336742
"Taxon_008","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis","negative",-0.693147180559945,0.693147180559945,-0.693147180559945,-0.00729225154079671,-0.157393706871915,-0.150101455331118,0.00226437850222694,-0.0044937035194148,-0.00675808202164174,-0.0776413791128934,-0.0799057576151203
"Taxon_009","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae","negative",-0.693147180559945,0.693147180559945,-0.693147180559945,-0.0350811504498694,-0.276704755036546,-0.241623604586676,-0.00323648524989006,-0.0247747319310112,-0.0215382466811211,-0.156704857571521,-0.153468372321631
