"setting_id","depth_design","design_id","calibration_role","method","component","domain","threshold","n_taxa","operational_tail_n","operational_tail_estimate","operational_tail_mcse","operational_tail_ci95_lower","operational_tail_ci95_upper","available_conditional_tail_n","available_conditional_tail_estimate","available_conditional_tail_mcse","available_conditional_tail_ci95_lower","available_conditional_tail_ci95_upper"
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","ZINQ","observed_prevalence","prevalence",0.005,50,100,0.0044,0.000924634790038475,0.00256532397557911,0.00623467602442089,100,0.0044,0.000924634790038475,0.00256532397557911,0.00623467602442089
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","ZINQ","observed_prevalence","prevalence",0.01,50,100,0.0092,0.00131564018291822,0.00658948444686541,0.0118105155531346,100,0.0092,0.00131564018291822,0.00658948444686541,0.0118105155531346
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","ZINQ","observed_prevalence","prevalence",0.025,50,100,0.0232,0.00210281197015287,0.0190275648428238,0.0273724351571762,100,0.0232,0.00210281197015287,0.0190275648428238,0.0273724351571762
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","ZINQ","observed_prevalence","prevalence",0.05,50,100,0.0504,0.00298792181418403,0.0444713148862812,0.0563286851137188,100,0.0504,0.00298792181418403,0.0444713148862812,0.0563286851137188
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","ZINQ","observed_prevalence","prevalence",0.1,50,100,0.0966,0.00401064240805043,0.088642015347195,0.104557984652805,100,0.0966,0.00401064240805043,0.088642015347195,0.104557984652805
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","ZINQ","detected_quantile_abundance","abundance",0.001,50,100,0.0014,0.000586377339124206,0.000236500143683613,0.00256349985631639,100,0.0014,0.000586377339124206,0.000236500143683613,0.00256349985631639
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","ZINQ","detected_quantile_abundance","abundance",0.005,50,100,0.0068,0.00127825638818642,0.00426366200608688,0.00933633799391312,100,0.0068,0.00127825638818642,0.00426366200608688,0.00933633799391312
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","ZINQ","detected_quantile_abundance","abundance",0.01,50,100,0.0136,0.00170276068177355,0.0102213533907301,0.0169786466092699,100,0.0136,0.00170276068177355,0.0102213533907301,0.0169786466092699
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","ZINQ","detected_quantile_abundance","abundance",0.025,50,100,0.0332,0.00270009352625146,0.0278424286543431,0.0385575713456569,100,0.0332,0.00270009352625146,0.0278424286543431,0.0385575713456569
"NULL_FOURFOLD","fourfold","FOURFOLD","no-direct-effect conditional depth-imbalance stress","ZINQ","detected_quantile_abundance","abundance",0.05,50,100,0.0646,0.00370481532139681,0.0572488426367874,0.0719511573632126,100,0.0646,0.00370481532139681,0.0572488426367874,0.0719511573632126
