"setting_id","taxon","n_replications","mean_positive_control","mean_positive_case","probability_control_below_20","probability_case_below_20","probability_either_group_below_20"
"ABUND_FOURFOLD","Taxon_032",100,49.8,69.11,0,0,0
"ABUND_FOURFOLD","Taxon_033",100,36.51,52.79,0,0,0
"ABUND_FOURFOLD","Taxon_034",100,32.6,45.57,0,0,0
"ABUND_FOURFOLD","Taxon_035",100,40.41,57.36,0,0,0
"ABUND_FOURFOLD","Taxon_036",100,28.8,40.29,0,0,0
"ABUND_FOURFOLD","Taxon_037",100,29.82,45.22,0,0,0
"ABUND_FOURFOLD","Taxon_038",100,44.55,66.31,0,0,0
"ABUND_FOURFOLD","Taxon_039",100,32.96,39.34,0,0,0
"ABUND_FOURFOLD","Taxon_040",100,27.54,32.33,0.03,0,0.03
"ABUND_FOURFOLD","Taxon_041",100,51.38,77.89,0,0,0
"ABUND_FOURFOLD","Taxon_042",100,38.87,61.16,0,0,0
"ABUND_FOURFOLD","Taxon_043",100,30.3,46.7,0.01,0,0.01
"ABUND_FOURFOLD","Taxon_044",100,34.14,41.46,0,0,0
"ABUND_FOURFOLD","Taxon_045",100,44.73,66.74,0,0,0
"ABUND_FOURFOLD","Taxon_046",100,36.09,58.45,0,0,0
"ABUND_FOURFOLD","Taxon_047",100,39.31,63.55,0,0,0
"ABUND_FOURFOLD","Taxon_048",100,29.55,49.56,0.01,0,0.01
"ABUND_FOURFOLD","Taxon_049",100,42.22,70.4,0,0,0
"ABUND_FOURFOLD","Taxon_050",100,35.54,56.45,0,0,0
"JOINT_BALANCED","Taxon_001",100,38.57,39.66,0,0.02,0.02
"JOINT_BALANCED","Taxon_002",100,69.21,68.59,0,0,0
"JOINT_BALANCED","Taxon_003",100,102.8,101.74,0,0,0
"JOINT_BALANCED","Taxon_004",100,91.68,92.17,0,0,0
"JOINT_BALANCED","Taxon_005",100,68.22,69,0,0,0
"JOINT_BALANCED","Taxon_006",100,103.31,102.43,0,0,0
"JOINT_BALANCED","Taxon_007",100,71.84,70.55,0,0,0
"JOINT_BALANCED","Taxon_008",100,106.85,105.91,0,0,0
"JOINT_BALANCED","Taxon_009",100,78.95,77.5,0,0,0
"JOINT_BALANCED","Taxon_010",100,56.27,56.42,0,0,0
"JOINT_BALANCED","Taxon_011",100,47.27,46.23,0,0,0
"JOINT_BALANCED","Taxon_012",100,64.04,64.38,0,0,0
"JOINT_BALANCED","Taxon_013",100,53.43,54.35,0,0,0
"JOINT_BALANCED","Taxon_014",100,34.03,35.02,0,0.04,0.04
"JOINT_BALANCED","Taxon_015",100,84.1,84.46,0,0,0
"JOINT_BALANCED","Taxon_016",100,81.22,78.33,0,0,0
"JOINT_BALANCED","Taxon_017",100,105.58,106.1,0,0,0
"JOINT_BALANCED","Taxon_018",100,54.8,53.86,0,0,0
"JOINT_BALANCED","Taxon_019",100,52.02,51.85,0,0,0
"JOINT_BALANCED","Taxon_020",100,78.64,77.65,0,0,0
"JOINT_BALANCED","Taxon_021",100,57.32,58.67,0,0,0
"JOINT_BALANCED","Taxon_022",100,29.81,30.35,0,0.12,0.12
"JOINT_BALANCED","Taxon_023",100,55.7,54.59,0,0,0
"JOINT_BALANCED","Taxon_024",100,70.23,68.02,0,0,0
"JOINT_BALANCED","Taxon_025",100,45.91,45.96,0,0,0
"JOINT_BALANCED","Taxon_026",100,82.17,82.64,0,0,0
"JOINT_BALANCED","Taxon_027",100,70.22,69.93,0,0,0
"JOINT_BALANCED","Taxon_028",100,73.22,72.87,0,0,0
"JOINT_BALANCED","Taxon_029",100,70.86,71.34,0,0,0
"JOINT_BALANCED","Taxon_030",100,72.18,72.76,0,0,0
"JOINT_BALANCED","Taxon_031",100,43.59,43.63,0,0,0
"JOINT_BALANCED","Taxon_032",100,63.72,63.25,0,0,0
"JOINT_BALANCED","Taxon_033",100,48.3,47.91,0,0,0
"JOINT_BALANCED","Taxon_034",100,42.06,42.75,0,0.02,0.02
"JOINT_BALANCED","Taxon_035",100,53.17,53.19,0,0,0
"JOINT_BALANCED","Taxon_036",100,37.02,38.14,0,0.03,0.03
"JOINT_BALANCED","Taxon_037",100,40.32,41.4,0,0,0
"JOINT_BALANCED","Taxon_038",100,61.25,60.41,0,0,0
"JOINT_BALANCED","Taxon_039",100,38.33,36.78,0,0.05,0.05
"JOINT_BALANCED","Taxon_040",100,32.45,32.76,0,0.05,0.05
"JOINT_BALANCED","Taxon_041",100,70.98,70.19,0,0,0
"JOINT_BALANCED","Taxon_042",100,53.8,54.38,0,0,0
"JOINT_BALANCED","Taxon_043",100,41.51,41.81,0,0.02,0.02
"JOINT_BALANCED","Taxon_044",100,40.52,39.75,0,0.01,0.01
"JOINT_BALANCED","Taxon_045",100,60.96,61.98,0,0,0
"JOINT_BALANCED","Taxon_046",100,50.7,53.16,0,0,0
"JOINT_BALANCED","Taxon_047",100,56.45,57.47,0,0,0
"JOINT_BALANCED","Taxon_048",100,43.76,43.81,0,0,0
"JOINT_BALANCED","Taxon_049",100,61.88,61.39,0,0,0
"JOINT_BALANCED","Taxon_050",100,50.58,50.34,0,0,0
"JOINT_FOURFOLD","Taxon_001",100,33.4,41.47,0,0.01,0.01
"JOINT_FOURFOLD","Taxon_002",100,63.23,69.83,0,0,0
"JOINT_FOURFOLD","Taxon_003",100,94.81,104.31,0,0,0
"JOINT_FOURFOLD","Taxon_004",100,87.91,93.3,0,0,0
"JOINT_FOURFOLD","Taxon_005",100,61.97,70.71,0,0,0
"JOINT_FOURFOLD","Taxon_006",100,97.92,103.78,0,0,0
"JOINT_FOURFOLD","Taxon_007",100,62.07,74.07,0,0,0
"JOINT_FOURFOLD","Taxon_008",100,103.09,106.97,0,0,0
"JOINT_FOURFOLD","Taxon_009",100,74.65,78.68,0,0,0
"JOINT_FOURFOLD","Taxon_010",100,49.44,58.84,0,0,0
"JOINT_FOURFOLD","Taxon_011",100,42.5,47.98,0,0,0
"JOINT_FOURFOLD","Taxon_012",100,55.47,67.92,0,0,0
"JOINT_FOURFOLD","Taxon_013",100,47.63,56.06,0,0,0
"JOINT_FOURFOLD","Taxon_014",100,29.2,36.83,0,0.05,0.05
"JOINT_FOURFOLD","Taxon_015",100,76.92,86.27,0,0,0
"JOINT_FOURFOLD","Taxon_016",100,73.18,80.63,0,0,0
"JOINT_FOURFOLD","Taxon_017",100,99.09,107.62,0,0,0
"JOINT_FOURFOLD","Taxon_018",100,47.63,55.94,0,0,0
"JOINT_FOURFOLD","Taxon_019",100,44.46,54.28,0,0,0
"JOINT_FOURFOLD","Taxon_020",100,69.85,80.39,0,0,0
"JOINT_FOURFOLD","Taxon_021",100,49.9,61.08,0,0,0
"JOINT_FOURFOLD","Taxon_022",100,25.96,31.69,0.07,0.1,0.16
"JOINT_FOURFOLD","Taxon_023",100,48.05,57.23,0,0,0
"JOINT_FOURFOLD","Taxon_024",100,58.6,71.59,0,0,0
