component_family,null_mechanism,samples_per_group,covariate_structure,method,method_component,tested_component,replications,familywise_type_i_error,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Abundance,Correlated-community null,120,Confounded,corncob,corncob,General abundance,100,0.12,0.276339711883103,0.0276339711883103,0.0658374164709117,0.174162583529088
Abundance,Correlated-community null,120,Confounded,MaAsLin 3,MaAsLin 3 abundance,Detected log abundance,100,0.03,0.119341628287971,0.0119341628287971,0.00660904085555766,0.0533909591444423
Abundance,Correlated-community null,120,Confounded,metagenomeSeq,metagenomeSeq,General abundance,100,0.4,0.362371537669739,0.0362371537669739,0.328975178616731,0.471024821383269
Abundance,Correlated-community null,120,Confounded,SACAT,SACAT present-conditional abundance,Present-conditional abundance,100,0.065,0.168998834494815,0.0168998834494815,0.0318762284390162,0.0981237715609838
Abundance,Correlated-community null,120,Confounded,LinDA,LinDA,General abundance,100,0.0949999999999999,0.262995563967659,0.0262995563967659,0.0434528694623388,0.146547130537661
Abundance,Correlated-community null,120,Confounded,ZINQ,ZINQ quantile abundance,Detected-sample quantile abundance,100,0.05,0.166666666666667,0.0166666666666667,0.0173333333333333,0.0826666666666666
Abundance,Correlated-community null,120,Confounded,ANCOM-BC2,ANCOM-BC2,General abundance,100,0.005,0.05,0.005,0,0.0148
Structural or prevalence,Taxonwise global null,60,Unconfounded,SACAT,SACAT structural absence,Structural absence,100,0.055,0.199684093942751,0.0199684093942751,0.0158619175872208,0.0941380824127792
Structural or prevalence,Taxonwise global null,60,Unconfounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.02,0.0984731927834661,0.00984731927834661,0.000699254214440632,0.0393007457855594
Structural or prevalence,Taxonwise global null,60,Unconfounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.07,0.224957908520818,0.0224957908520818,0.0259082499299197,0.11409175007008
Structural or prevalence,Depth-imbalanced null,60,Unconfounded,SACAT,SACAT structural absence,Structural absence,100,0.035,0.128216199988121,0.0128216199988121,0.00986962480232817,0.0601303751976718
Structural or prevalence,Depth-imbalanced null,60,Unconfounded,MaAsLin 3,MaAsLin 3 prevalence,Observed prevalence,100,0.045,0.175450358457395,0.0175450358457395,0.0106117297423506,0.0793882702576494
Structural or prevalence,Depth-imbalanced null,60,Unconfounded,ZINQ,ZINQ Firth prevalence,Observed prevalence,100,0.06,0.191748994176441,0.0191748994176441,0.0224171971414175,0.0975828028585824
